TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,DRAFT_YEAR,SEASON,GAMES_PLAYED,MINUTES,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,TURNOVERS,FIELD_GOAL_PCT,THREE_POINT_PCT,FREE_THROW_PCT,USAGE_RATE,PLUS_MINUS
14058,203912,C.J.,Wilcox,C.J. Wilcox,SG,75.5,6' 3.5'',77.0,6' 5'',201.0,81.75,6' 9.75'',100.5,8' 4.5'',6.5,8.75,9.0,2014,2014-15,21.0,4.8,2.0,0.3,0.4,0.1,0.0,0.5,0.421,0.368,1.0,,
14061,203899,Kendall,Williams,Kendall Williams,PG,74.25,6' 2.25'',75.75,6' 3.75'',183.0,77.5,6' 5.5'',99.0,8' 3'',7.2,8.0,7.75,2014,,,,,,,,,,,,,,
14060,203942,Patric,Young,Patric Young,PF,80.5,6' 8.5'',82.0,6' 10'',246.8,85.75,7' 1.75'',103.5,8' 7.5'',5.45,9.25,9.5,2014,,,,,,,,,,,,,,
14059,203923,James,Young,James Young,SG,77.25,6' 5.25'',78.75,6' 6.75'',213.3,84.0,7' 0'',104.0,8' 8'',5.1,9.0,9.5,2014,2014-15,31.0,10.7,3.4,1.4,0.4,0.3,0.1,0.2,0.353,0.258,0.552,,
15000,1626146,Cliff,Alexander,Cliff Alexander,PF-C,79.25,6' 7.25'',80.5,6' 8.5'',239.2,87.5,7' 3.5'',109.5,9' 1.5'',5.8,9.5,10.25,2015,2015-16,8.0,4.5,1.3,0.8,0.0,0.1,0.3,0.1,0.5,0.0,0.0,,
15001,1626147,Justin,Anderson,Justin Anderson,SF-SG,77.25,6' 5.25'',78.25,6' 6.25'',230.6,83.75,6' 11.75'',101.0,8' 5'',5.0,8.5,9.5,2015,2015-16,55.0,11.8,3.8,2.4,0.5,0.3,0.5,0.4,0.406,0.265,0.8,,
15002,1626165,Brandon,Ashley,Brandon Ashley,PF,79.25,6' 7.25'',80.5,6' 8.5'',228.0,87.75,7' 3.75'',105.0,8' 9'',8.8,9.0,9.5,2015,,,,,,,,,,,,,,
15003,1626207,Ryan,Boatright,Ryan Boatright,PG,70.0,5' 10'',71.0,5' 11'',169.6,72.5,6' 0.5'',92.5,7' 8.5'',6.6,7.5,8.75,2015,,,,,,,,,,,,,,
15004,1626164,Devin,Booker,Devin Booker,SG,76.5,6' 4.5'',77.75,6' 5.75'',205.8,80.25,6' 8.25'',102.5,8' 6.5'',8.3,8.75,9.0,2015,2015-16,76.0,27.7,13.8,2.5,2.6,0.6,0.3,2.1,0.423,0.343,0.84,,
15005,1626148,Anthony,Brown,Anthony Brown,SF-SG,77.75,6' 5.75'',79.25,6' 7.25'',211.0,83.0,6' 11'',104.5,8' 8.5'',6.1,8.5,9.0,2015,2015-16,29.0,20.7,4.0,2.4,0.7,0.5,0.2,0.5,0.31,0.286,0.85,,
15006,1626161,Willie,Cauley-Stein,Willie Cauley-Stein,C,83.25,6' 11.25'',84.5,7' 0.5'',242.4,87.0,7' 3'',111.0,9' 3'',6.3,9.5,9.0,2015,2015-16,66.0,21.4,7.0,5.3,0.6,0.7,1.0,0.7,0.563,0.0,0.648,,
15007,1626176,Rakeem,Christmas,Rakeem Christmas,PF-C,80.25,6' 8.25'',81.75,6' 9.75'',242.6,89.25,7' 5.25'',110.5,9' 2.5'',9.6,9.25,9.0,2015,2015-16,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
15008,1626192,Pat,Connaughton,Pat Connaughton,SG,76.0,6' 4'',77.25,6' 5.25'',215.0,80.0,6' 8'',96.0,8' 0'',10.2,8.5,9.25,2015,2015-16,34.0,4.2,1.1,0.9,0.3,0.1,0.0,0.3,0.265,0.238,1.0,,
15009,1626188,Quinn,Cook,Quinn Cook,PG,72.25,6' 0.25'',74.0,6' 2'',179.0,76.0,6' 4'',96.5,8' 0.5'',6.7,7.5,8.75,2015,2015-16,5.0,15.4,5.4,0.6,2.4,0.2,0.0,1.6,0.44,0.357,0.0,,
15010,1626183,Branden,Dawson,Branden Dawson,PF,77.5,6' 5.5'',78.75,6' 6.75'',230.2,83.0,6' 11'',105.0,8' 9'',5.8,9.0,8.75,2015,2015-16,6.0,4.8,0.8,0.7,0.0,0.0,0.2,0.0,0.4,0.0,1.0,,
15012,1626155,Sam,Dekker,Sam Dekker,SF,79.75,6' 7.75'',81.0,6' 9'',218.6,83.5,6' 11.5'',106.0,8' 10'',7.5,8.5,9.25,2015,2015-16,3.0,2.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,,
15013,1626187,Michael,Frazier II,Michael Frazier II,SG,75.75,6' 3.75'',76.25,6' 4.25'',199.4,80.0,6' 8'',101.5,8' 5.5'',7.4,8.25,9.25,2015,2015-16,13.0,11.2,2.1,0.8,0.2,0.2,0.0,0.4,0.241,0.174,0.643,,
15014,1626203,Treveon,Graham,Treveon Graham,SF,76.0,6' 4'',77.75,6' 5.75'',219.4,82.5,6' 10.5'',103.0,8' 7'',5.5,8.5,8.25,2015,2015-16,27.0,7.0,2.1,0.8,0.2,0.2,0.0,0.1,0.475,0.6,0.667,,
15015,1626170,Jerian,Grant,Jerian Grant,PG,75.25,6' 3.25'',76.25,6' 4.25'',198.0,79.5,6' 7.5'',100.0,8' 4'',5.6,8.25,8.5,2015,2015-16,76.0,16.6,5.6,1.9,2.3,0.7,0.1,1.1,0.394,0.22,0.78,,
15016,1626152,Olivier,Hanlan,Olivier Hanlan,PG-SG,75.25,6' 3.25'',76.25,6' 4.25'',185.8,78.0,6' 6'',100.0,8' 4'',4.3,8.0,8.75,2015,,,,,,,,,,,,,,
15017,1626149,Montrezl,Harrell,Montrezl Harrell,PF,79.0,6' 7'',79.5,6' 7.5'',253.4,88.25,7' 4.25'',109.0,9' 1'',11.9,9.0,9.75,2015,2015-16,39.0,9.7,3.6,1.7,0.4,0.3,0.3,0.4,0.644,0.0,0.522,,
15019,1626150,Andrew,Harrison,Andrew Harrison,PG,76.5,6' 4.5'',77.5,6' 5.5'',213.2,81.0,6' 9'',100.0,8' 4'',5.9,8.25,9.25,2015,2015-16,72.0,20.5,5.9,1.9,2.8,0.7,0.3,1.2,0.325,0.276,0.763,,
15018,1626151,Aaron,Harrison,Aaron Harrison,SG,76.5,6' 4.5'',78.0,6' 6'',209.2,80.25,6' 8.25'',100.5,8' 4.5'',6.0,8.75,10.0,2015,2015-16,21.0,4.4,0.9,0.7,0.1,0.3,0.0,0.2,0.263,0.3,0.417,,
15020,1626227,Tyler,Harvey,Tyler Harvey,SG,74.75,6' 2.75'',76.0,6' 4'',181.4,77.5,6' 5.5'',98.5,8' 2.5'',9.2,7.75,8.75,2015,,,,,,,,,,,,,,
15021,1626186,Corey,Hawkins,Corey Hawkins,SG-PG,72.75,6' 0.75'',73.75,6' 1.75'',191.8,80.0,6' 8'',99.5,8' 3.5'',5.5,8.75,9.0,2015,,,,,,,,,,,,,,
15022,1626178,Rondae,Hollis-Jefferson,Rondae Hollis-Jefferson,SF,77.5,6' 5.5'',79.0,6' 7'',210.8,86.0,7' 2'',104.0,8' 8'',5.0,8.75,9.75,2015,2015-16,29.0,21.2,5.8,5.3,1.5,1.3,0.6,0.9,0.457,0.286,0.712,,
15024,1626158,Richaun,Holmes,Richaun Holmes,PF,80.25,6' 8.25'',81.5,6' 9.5'',242.8,85.5,7' 1.5'',108.0,9' 0'',8.8,8.5,8.5,2015,2015-16,51.0,13.8,5.6,2.6,0.6,0.4,0.8,0.6,0.514,0.182,0.689,,
15023,1626182,Jonathan,Holmes,Jonathan Holmes,PF-SF,80.25,6' 8.25'',81.25,6' 9.25'',242.2,83.5,6' 11.5'',107.5,8' 11.5'',7.2,8.25,9.5,2015,,,,,,,,,,,,,,
15025,1626154,R.J.,Hunter,R.J. Hunter,SG,76.5,6' 4.5'',78.0,6' 6'',185.0,82.5,6' 10.5'',104.0,8' 8'',6.0,8.5,8.25,2015,2015-16,36.0,8.8,2.7,1.0,0.4,0.4,0.1,0.3,0.367,0.302,0.857,,
15026,1626205,Vince,Hunter,Vince Hunter,PF,78.75,6' 6.75'',79.5,6' 7.5'',208.4,83.0,6' 11'',104.5,8' 8.5'',4.6,9.0,8.75,2015,2015-16,4.0,1.8,1.5,0.8,0.0,0.0,0.3,0.3,0.6,0.0,0.0,,
15028,1626177,Dakari,Johnson,Dakari Johnson,C,83.0,6' 11'',83.75,6' 11.75'',264.6,86.0,7' 2'',112.0,9' 4'',14.9,9.25,10.5,2015,2015-16,31.0,5.2,1.8,1.1,0.3,0.2,0.3,0.1,0.564,0.0,0.55,,
15029,1626169,Stanley,Johnson,Stanley Johnson,SF,77.0,6' 5'',78.5,6' 6.5'',241.8,83.5,6' 11.5'',102.0,8' 6'',7.5,9.0,9.0,2015,2015-16,73.0,23.1,8.1,4.2,1.6,0.8,0.2,1.6,0.375,0.307,0.784,,
15030,1626145,Tyus,Jones,Tyus Jones,PG,72.5,6' 0.5'',74.0,6' 2'',184.6,77.0,6' 5'',97.0,8' 1'',6.5,8.25,8.75,2015,2015-16,37.0,15.5,4.2,1.3,2.9,0.8,0.1,0.9,0.359,0.302,0.718,,
15031,1626163,Frank,Kaminsky,Frank Kaminsky,C-PF,83.75,6' 11.75'',84.75,7' 0.75'',231.2,83.0,6' 11'',109.5,9' 1.5'',9.4,8.5,9.5,2015,2015-16,81.0,21.1,7.5,4.1,1.2,0.5,0.5,0.7,0.41,0.337,0.73,,
15032,1626172,Kevon,Looney,Kevon Looney,PF,80.0,6' 8'',81.25,6' 9.25'',222.4,87.5,7' 3.5'',110.0,9' 2'',11.9,9.5,9.25,2015,2015-16,5.0,4.2,1.8,2.0,0.0,0.0,0.0,0.2,0.571,0.5,0.0,,
15033,1626168,Trey,Lyles,Trey Lyles,PF,81.0,6' 9'',82.25,6' 10.25'',241.2,85.5,7' 1.5'',108.0,9' 0'',12.1,9.25,10.25,2015,2015-16,80.0,17.3,6.1,3.7,0.7,0.3,0.2,0.8,0.438,0.383,0.695,,
15034,1626185,Jarell,Martin,Jarell Martin,PF,80.0,6' 8'',81.25,6' 9.25'',238.6,81.0,6' 9'',106.5,8' 10.5'',10.1,8.25,9.5,2015,2015-16,27.0,14.1,5.7,3.2,0.6,0.3,0.3,0.7,0.466,0.0,0.726,,
15035,204456,TJ,McConnell,TJ McConnell,PG,72.5,6' 0.5'',74.0,6' 2'',187.8,74.0,6' 2'',96.5,8' 0.5'',7.3,7.5,7.0,2015,2015-16,81.0,19.8,6.1,3.1,4.5,1.2,0.1,1.7,0.47,0.348,0.634,,
