PLAYER_ID,PLAYER_NAME,FIRST_NAME,LAST_NAME,POSITION,DRAFT_YEAR,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,MODIFIED_LANE_AGILITY_TIME,GAMES_PLAYED,MINUTES,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,TURNOVERS,FIELD_GOAL_PCT,THREE_POINT_PCT,FREE_THROW_PCT,WINGSPAN_INCHES,STANDING_REACH_INCHES,PRA_PERMIN,SEASON,HEIGHT_W_SHOES
1626166,Cameron Payne,Cameron,Payne,PG,2015,72.75,182.8,79.25,97.5,6.3,8.5,8.25,10.9,3.28,29.75,35.5,2.93,57.0,12.2,5.0,1.5,1.9,0.6,0.1,0.8,0.41,0.324,0.792,79.25,97.5,0.6885245901639345,2015,73.5
1629629,Cameron Reddish,Cameron,Reddish,SF,2019,78.5,207.8,84.5,105.5,4.7,9.0,9.0,,,,,,58.0,26.7,10.5,3.7,1.5,1.1,0.5,1.7,0.384,0.332,0.802,84.5,105.5,0.5880149812734082,2019,80.0
1627747,Caris LeVert,Caris,LeVert,SG,2016,77.75,191.0,82.0,101.0,7.55,8.5,9.25,,,,,,57.0,21.7,8.2,3.3,1.9,0.9,0.1,1.0,0.45,0.321,0.72,82.0,101.0,0.6175115207373272,2016,79.0
1630637,Carlik Jones,Carlik,Jones,PG,2021,72.0,173.6,77.0,97.5,4.5,8.25,9.0,10.96,3.16,31.5,36.0,3.23,3.0,6.3,0.7,1.0,1.7,0.3,0.0,1.0,0.0,0.0,1.0,77.0,97.5,0.5396825396825397,2021,73.0
1629035,Carsen Edwards,Carsen,Edwards,PG,2018,70.75,195.6,78.25,94.5,6.3,8.5,9.25,11.59,3.2,28.5,34.5,3.15,37.0,9.5,3.3,1.3,0.6,0.3,0.1,0.4,0.328,0.316,0.684,78.25,94.5,0.5473684210526315,2018,72.0
1641717,Cason Wallace,Cason,Wallace,PG,2023,74.5,195.2,80.5,101.0,,8.5,9.25,10.82,3.34,28.0,36.0,,82.0,20.6,6.8,2.3,1.5,0.9,0.5,0.5,0.491,0.419,0.784,80.5,101.0,0.5145631067961165,2023,
1630199,Cassius Stanley,Cassius,Stanley,SG,2020,77.0,201.6,79.0,99.5,5.8,8.25,9.0,11.4,3.09,34.5,44.0,2.43,24.0,3.9,1.5,0.8,0.0,0.0,0.1,0.0,0.302,0.231,0.778,79.0,99.5,0.5897435897435898,2020,78.2
1630216,Cassius Winston,Cassius,Winston,PG,2020,72.5,196.0,78.0,97.0,9.0,8.75,8.25,11.15,3.61,24.0,28.0,2.74,22.0,4.5,1.9,0.4,0.5,0.1,0.0,0.2,0.424,0.471,0.833,78.0,97.0,0.6222222222222222,2020,73.5
1627760,Cat Barber,Cat,Barber,PG,2016,73.5,173.0,77.5,95.5,4.5,8.0,8.5,,,,,,3.0,4.3,0.0,1.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,77.5,95.5,0.4651162790697674,2016,74.75
1629646,Charles Bassey,Charles,Bassey,C,2019,80.75,239.0,87.5,109.5,8.5,9.25,9.5,12.65,3.53,29.0,33.0,3.27,23.0,7.3,3.0,2.7,0.3,0.2,0.7,0.3,0.638,0.0,0.75,87.5,109.5,0.8219178082191781,2019,82.0
1629646,Charles Bassey,Charles,Bassey,C,2021,81.25,230.2,87.0,107.5,5.9,9.0,9.5,12.19,3.13,33.0,36.0,3.33,23.0,7.3,3.0,2.7,0.3,0.2,0.7,0.3,0.638,0.0,0.75,87.0,107.5,0.8219178082191781,2021,82.25
1626184,Chasson Randle,Chasson,Randle,PG,2015,72.25,178.8,79.0,96.5,4.5,8.5,9.5,10.63,3.2,33.5,39.5,2.81,8.0,9.3,5.3,0.6,0.8,0.4,0.1,0.4,0.462,0.4,1.0,79.0,96.5,0.7204301075268816,2015,73.5
1627767,Cheick Diallo,Cheick,Diallo,PF,2016,79.5,218.6,88.5,107.5,5.6,8.5,9.75,11.24,3.26,31.0,35.0,3.3,17.0,11.7,5.1,4.3,0.2,0.2,0.4,0.4,0.474,0.0,0.714,88.5,107.5,0.8205128205128204,2016,81.0
1629002,Chimezie Metu,Chimezie,Metu,PF-C,2018,80.5,219.6,84.5,108.0,5.05,9.0,9.25,11.89,3.33,29.5,36.0,3.25,29.0,5.0,1.8,1.2,0.4,0.2,0.1,0.5,0.328,0.0,0.765,84.5,108.0,0.6799999999999999,2018,81.5
1627778,Chinanu Onuaku,Chinanu,Onuaku,C,2016,81.0,245.2,86.75,108.5,8.55,9.0,8.0,11.65,3.5,27.5,33.5,3.0,5.0,10.4,2.8,2.0,0.6,0.6,0.2,0.8,0.714,0.0,1.0,86.75,108.5,0.5192307692307692,2016,82.0
1628449,Chris Boucher,Chris,Boucher,PF,2017,80.0,182.2,88.0,110.5,5.4,9.25,10.5,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,110.5,1.0,2017,81.5
1641753,Chris Livingston,Chris,Livingston,SF,2023,78.0,219.2,83.25,104.5,,8.5,9.0,11.65,3.27,30.5,37.0,,21.0,4.3,1.2,1.0,0.2,0.1,0.0,0.2,0.5,0.2,0.75,83.25,104.5,0.558139534883721,2023,
1626191,Chris McCullough,Chris,McCullough,PF,2015,80.25,199.0,87.25,109.0,6.2,8.75,8.75,,,,,,24.0,15.1,4.7,2.8,0.4,1.2,0.5,0.6,0.404,0.382,0.478,87.25,109.0,0.5231788079470199,2015,81.0
1631128,Christian Braun,Christian,Braun,SG,2022,77.5,209.2,78.5,99.5,6.2,8.0,8.5,11.0,3.16,33.5,40.0,3.13,76.0,15.5,4.7,2.4,0.8,0.5,0.2,0.5,0.495,0.354,0.625,78.5,99.5,0.5096774193548387,2022,79.0
1631132,Christian Koloko,Christian,Koloko,C,2022,82.75,221.0,89.25,113.0,5.7,9.0,10.75,11.3,3.27,28.0,33.5,3.19,58.0,13.8,3.1,2.9,0.5,0.4,1.0,0.3,0.48,0.083,0.627,89.25,113.0,0.4710144927536231,2022,84.0
